hour_of_day,total_sessions,unique_users,avg_session_duration,completed_purchases,revenue
2024-12-12 13:00:00,6,6,109.29,0,0.0
2024-12-31 18:00:00,5,5,136.97,1,4612.4
2024-12-29 19:00:00,5,5,141.01,0,0.0
2024-12-12 14:00:00,5,5,175.98,2,9673.46
2024-12-31 11:00:00,5,5,122.03,0,0.0
2024-12-19 02:00:00,5,5,104.77,0,0.0
2024-12-06 00:00:00,5,5,112.38,1,916.5
2024-12-23 20:00:00,5,5,150.42,1,3706.1
2024-12-19 01:00:00,5,5,93.89,1,790.84
2024-12-31 17:00:00,5,5,137.01,3,12917.43
2024-04-20 14:00:00,5,5,177.17,1,3720.39
2024-12-29 09:00:00,5,5,159.22,1,1156.59
2024-08-17 13:00:00,5,5,106.13,2,2268.01
2024-12-20 13:00:00,5,5,119.18,0,0.0
2024-10-05 11:00:00,4,4,115.04,1,2602.47
2024-07-02 15:00:00,4,4,146.04,3,2305.54
2024-12-14 12:00:00,4,4,148.39,0,0.0
2024-11-02 23:00:00,4,4,188.2,1,1631.49
2024-12-30 10:00:00,4,4,125.58,0,0.0
2024-09-07 01:00:00,4,4,65.63,2,3739.77
2024-12-29 15:00:00,4,4,145.04,2,5887.79
2024-08-07 13:00:00,4,4,92.13,0,0.0
2024-12-23 00:00:00,4,4,145.98,2,2782.63
2024-12-23 12:00:00,4,4,73.88,0,0.0
